Approval;CreditScore;DebttoIncomeRatio;Interest;RequestAmount
T;659;,25;3600;8000
T;683;,15;2250;5000
F;630;,2;17550;39000
F;569;,25;15300;34000
T;719;,08;12600;28000
T;677;,19;10800;24000
F;731;,2;1800;4000
T;733;,24;10800;24000
T;746;,13;450;1000
F;615;,03;7650;17000
T;680;,31;13500;30000
T;681;,23;4950;11000
T;742;,19;2700;6000
T;709;,26;2700;6000
T;701;,19;1350;3000
T;675;,24;4050;9000
T;690;,05;5400;12000
F;699;,39;6750;15000
F;702;,12;3150;7000
F;745;,3;4050;9000
F;702;,37;9450;21000
F;618;,24;2250;5000
T;713;,12;6750;15000
T;696;,31;9000;20000
F;647;0;3600;8000
F;749;,01;16650;37000
F;455;,12;1350;3000
T;767;0;4500;10000
F;609;,12;9000;20000
F;440;,11;3150;7000
F;614;,12;16650;37000
F;691;,36;4500;10000
F;654;,1;3600;8000
T;711;,29;9000;20000
T;683;,24;2700;6000
T;757;,04;5850;13000
T;718;,18;2250;5000
F;665;,37;8100;18000
F;561;,35;5400;12000
F;605;,07;4950;11000
F;652;,12;11250;25000
F;543;,25;450;1000
T;697;,21;3600;8000
T;723;,06;10350;23000
F;712;,15;4950;11000
T;791;,12;1800;4000
F;555;,02;4050;9000
F;725;,34;15750;35000
F;653;,47;8100;18000
T;687;,33;9450;21000
F;617;,3;450;1000
T;650;,13;5400;12000
T;704;,23;4050;9000
F;551;,06;6300;14000
T;687;,24;5400;12000
F;476;,26;4500;10000
T;742;,21;1350;3000
T;788;,13;5850;13000
F;463;,19;2700;6000
F;520;,06;3150;7000
T;690;,16;4500;10000
T;717;,2;4500;10000
F;588;,02;6750;15000
F;487;,04;1350;3000
T;692;,21;4950;11000
T;657;,1;2700;6000
T;724;,15;6300;14000
T;760;,08;3150;7000
T;737;,12;3600;8000
F;589;,34;2250;5000
F;524;,42;3150;7000
T;749;,07;450;1000
T;811;0;4050;9000
T;668;,24;7200;16000
T;686;,14;3600;8000
F;706;,45;14400;32000
F;624;,07;10800;24000
F;467;,01;2700;6000
F;708;,06;12150;27000
F;650;,18;4050;9000
T;694;,14;5400;12000
F;704;,42;5850;13000
F;584;,13;1800;4000
F;696;,17;9900;22000
T;667;,23;6750;15000
F;735;,87;900;2000
F;681;,23;2700;6000
F;651;,85;11250;25000
F;583;,12;1350;3000
T;682;,16;9900;22000
F;620;,14;450;1000
T;753;,15;4500;10000
T;704;,16;3150;7000
F;715;,1;16200;36000
T;672;,18;8100;18000
F;681;,09;16200;36000
T;774;,21;3150;7000
F;553;,08;4500;10000
T;699;,31;4950;11000
T;803;,14;5400;12000
F;690;,39;6750;15000
T;759;,08;5400;12000
F;670;,06;1350;3000
T;693;,18;7200;16000
T;691;,03;5400;12000
F;626;,37;9900;22000
T;670;,18;5850;13000
T;709;,18;5850;13000
T;731;,15;3150;7000
T;672;,16;450;1000
F;807;,68;2700;6000
T;702;,21;4050;9000
T;737;,15;2250;5000
F;534;,22;4500;10000
F;654;,02;1350;3000
F;662;,06;5850;13000
T;667;,22;2700;6000
F;709;,49;2700;6000
F;498;,15;4050;9000
F;743;,02;3600;8000
F;691;,06;1800;4000
T;686;,22;5850;13000
T;750;,01;3150;7000
F;634;,15;4500;10000
T;748;,25;900;2000
F;614;,1;16650;37000
T;715;,2;10800;24000
F;546;,29;450;1000
F;682;,32;3600;8000
T;669;,19;1800;4000
T;767;,08;6300;14000
T;745;,09;7650;17000
F;684;,11;900;2000
F;508;,13;3150;7000
T;700;,15;3150;7000
T;669;,01;1350;3000
T;739;,06;3600;8000
F;659;,06;3600;8000
F;404;,36;900;2000
T;676;0;450;1000
T;704;,13;2250;5000
T;715;,09;6750;15000
F;647;,01;1350;3000
F;635;,52;2700;6000
F;654;,18;225;500
T;727;,29;11700;26000
T;665;,22;3150;7000
T;765;,17;6750;15000
T;755;,11;10800;24000
F;601;,2;4050;9000
F;664;,23;2700;6000
T;683;,05;4050;9000
T;671;,15;3600;8000
F;724;,01;1350;3000
F;605;,01;4950;11000
T;682;,08;4050;9000
T;729;,25;3600;8000
T;732;,19;5850;13000
F;594;,14;3600;8000
T;679;,27;4950;11000
T;798;,11;8550;19000
F;460;,01;1800;4000
T;754;,11;8100;18000
T;680;,07;7650;17000
T;685;,02;8100;18000
T;677;,12;5850;13000
F;542;,31;1350;3000
F;719;,14;4950;11000
F;606;,08;4050;9000
F;674;,13;450;1000
T;735;,16;450;1000
T;709;,18;9450;21000
T;683;,27;10800;24000
T;723;,16;5400;12000
F;596;,04;450;1000
T;730;,15;900;2000
F;629;,27;8550;19000
F;692;,19;12600;28000
F;666;,18;6300;14000
F;611;,08;450;1000
T;680;,18;2700;6000
F;693;,5;3150;7000
F;654;,06;5400;12000
T;687;,11;3600;8000
F;526;,09;5400;12000
T;678;,11;4050;9000
F;717;,32;450;1000
T;727;,12;3600;8000
F;758;,48;9900;22000
F;658;,17;6300;14000
F;704;,46;16200;36000
T;758;,13;9000;20000
T;744;,25;11700;26000
T;756;,15;5850;13000
F;653;,26;4050;9000
T;630;,28;1350;3000
F;642;,18;7650;17000
T;688;,12;4050;9000
F;672;,37;8100;18000
F;622;,2;1800;4000
T;704;,32;9900;22000
F;654;,02;1350;3000
F;658;,01;900;2000
T;704;,23;3150;7000
F;609;,29;1800;4000
T;691;,22;4500;10000
T;687;,16;3600;8000
T;786;,06;3600;8000
T;691;,19;5400;12000
F;661;,29;4950;11000
F;527;,11;9450;21000
F;725;,2;3150;7000
F;622;,2;13050;29000
T;673;,28;4050;9000
T;688;,12;900;2000
T;729;,06;15300;34000
F;655;,22;2250;5000
T;729;,22;2700;6000
F;708;1;2700;6000
F;586;,08;12600;28000
T;702;,22;1800;4000
T;722;,14;7650;17000
T;698;,11;6300;14000
T;687;,24;3600;8000
T;756;0;5400;12000
F;636;,33;7650;17000
F;649;,24;7200;16000
F;499;,09;450;1000
F;742;,3;2250;5000
T;720;,24;9450;21000
T;672;,14;4500;10000
F;489;,01;7200;16000
T;675;,34;6300;14000
F;669;,03;7650;17000
T;672;,11;6300;14000
T;726;0;450;1000
F;722;,54;900;2000
F;486;,18;450;1000
F;475;,6;4500;10000
T;663;,18;2700;6000
T;700;,18;13950;31000
T;665;,14;3600;8000
T;803;,19;2700;6000
T;695;,13;5400;12000
T;681;,09;8100;18000
T;687;,2;4950;11000
F;759;,03;7200;16000
F;668;,58;6750;15000
T;665;,08;10800;24000
T;670;,08;11700;26000
T;704;,19;2250;5000
F;562;,22;2700;6000
T;779;,05;4050;9000
T;717;,24;9450;21000
T;712;,26;1800;4000
F;602;,21;450;1000
F;643;,24;4500;10000
T;699;,12;5850;13000
T;754;,13;12150;27000
T;658;,09;9900;22000
F;645;,28;8550;19000
F;611;,16;14850;33000
T;655;,19;4050;9000
T;733;,22;13950;31000
F;646;,12;9900;22000
T;686;,13;1800;4000
F;675;,28;9450;21000
T;675;,1;2250;5000
T;737;,28;1800;4000
T;740;,19;4950;11000
F;665;,34;5400;12000
F;586;,33;5850;13000
T;725;,08;2700;6000
F;689;,56;5850;13000
T;706;,21;2700;6000
F;646;,23;6300;14000
T;660;,23;6300;14000
T;656;,23;2250;5000
T;679;,21;11700;26000
T;669;,01;3600;8000
T;720;,22;4050;9000
F;800;,12;11250;25000
F;570;,13;2250;5000
F;578;,34;10350;23000
T;682;,12;9450;21000
F;657;,24;11700;26000
T;732;,17;10800;24000
F;601;,12;450;1000
F;529;,53;4500;10000
F;636;,07;3600;8000
T;693;,19;2700;6000
F;567;,47;1800;4000
T;705;,05;9000;20000
F;532;,19;4950;11000
T;729;,2;3600;8000
T;751;,13;3600;8000
F;569;,12;450;1000
T;699;,22;3150;7000
T;705;,2;4500;10000
T;713;,1;10800;24000
T;667;,08;3600;8000
T;676;,14;5400;12000
T;673;,04;5400;12000
T;666;,23;4950;11000
F;626;,44;1350;3000
F;626;,07;13950;31000
F;588;,24;11700;26000
F;617;,17;900;2000
F;673;,28;17100;38000
F;686;,32;4050;9000
F;704;,33;16200;36000
T;670;,28;2700;6000
T;775;,02;3600;8000
F;661;,08;900;2000
F;620;,04;2250;5000
F;766;,4;5850;13000
F;588;,09;1800;4000
T;745;,03;4500;10000
F;543;,05;2250;5000
T;674;,12;4500;10000
T;691;,23;2700;6000
F;644;,29;16650;37000
T;673;,17;4050;9000
T;679;,19;5850;13000
T;738;,14;4500;10000
T;718;,21;450;1000
T;721;,15;6750;15000
T;713;,19;5400;12000
T;731;,26;11700;26000
T;728;,01;2250;5000
T;696;,13;4500;10000
F;684;,06;13050;29000
F;665;,26;2700;6000
F;631;,16;5850;13000
F;603;,04;450;1000
T;693;,06;225;500
T;712;,29;4950;11000
F;619;,46;1800;4000
T;766;,12;10800;24000
F;723;,16;8550;19000
T;691;,25;4950;11000
F;662;,35;9000;20000
T;706;,07;2700;6000
F;677;,5;16200;36000
F;644;,26;1800;4000
F;612;,02;7200;16000
T;693;,1;11250;25000
F;698;,15;11700;26000
T;676;,28;13950;31000
T;696;,16;4950;11000
T;687;,03;1350;3000
F;674;,14;14400;32000
T;750;,08;2250;5000
T;702;,2;5400;12000
F;649;,25;2700;6000
T;769;,09;5400;12000
T;776;,09;1350;3000
F;639;,17;6750;15000
T;711;,09;1350;3000
F;653;,29;3150;7000
T;676;,11;5850;13000
F;681;,26;15750;35000
F;689;,68;12600;28000
F;605;,01;5400;12000
T;693;,14;1800;4000
F;689;,11;1350;3000
T;706;,22;4500;10000
F;722;,52;14400;32000
F;598;,17;15750;35000
F;723;,35;6750;15000
T;696;,07;4050;9000
T;743;,18;1800;4000
T;754;,08;6300;14000
F;680;,08;11250;25000
F;616;,24;3600;8000
F;629;,11;15750;35000
T;698;,24;8100;18000
F;657;,3;9450;21000
T;661;,19;7200;16000
F;780;,26;13950;31000
T;671;,06;7200;16000
F;621;,23;16200;36000
F;683;,61;7200;16000
F;687;,24;1800;4000
T;733;,12;2700;6000
T;699;,01;5400;12000
T;728;,2;5400;12000
T;717;,08;2250;5000
F;689;,07;1800;4000
F;786;,28;14400;32000
T;801;,28;9000;20000
F;703;,64;13950;31000
F;698;,26;16200;36000
T;711;,17;3150;7000
F;683;,33;900;2000
T;707;,12;1350;3000
F;598;,02;1350;3000
F;675;,09;4500;10000
T;714;,17;5850;13000
T;687;,11;7650;17000
F;606;,27;900;2000
T;697;,16;3150;7000
F;724;0;4950;11000
T;705;,07;9450;21000
F;651;,21;1800;4000
T;754;,18;900;2000
F;615;,04;2700;6000
T;691;,25;1800;4000
T;679;,1;6300;14000
T;718;,08;4500;10000
T;740;,14;8100;18000
T;736;,06;4950;11000
T;682;,22;4950;11000
T;682;,09;10800;24000
T;714;,03;5400;12000
T;708;,08;5850;13000
F;633;,13;12150;27000
F;683;,07;1350;3000
T;672;,23;900;2000
T;683;,1;3600;8000
T;778;,14;8100;18000
F;737;,22;900;2000
T;680;,18;1800;4000
F;670;,18;6300;14000
F;620;,31;4950;11000
F;678;,66;14400;32000
T;677;,21;9000;20000
F;579;,17;900;2000
T;672;,15;3150;7000
T;741;,13;5850;13000
T;674;,16;3600;8000
F;706;,17;16200;36000
T;766;,2;1800;4000
T;699;,21;4500;10000
T;704;,24;15300;34000
T;774;,14;3600;8000
T;684;,06;4500;10000
F;741;,56;16650;37000
T;696;,07;1350;3000
F;619;,09;1350;3000
T;694;,15;4050;9000
F;594;,45;4050;9000
T;673;,07;14850;33000
T;687;,18;3600;8000
T;691;,29;14400;32000
F;655;,4;6750;15000
T;702;,17;7200;16000
F;654;,22;5400;12000
T;712;,1;5850;13000
F;668;,2;4950;11000
F;664;,34;3150;7000
T;664;,2;1800;4000
T;765;,06;4050;9000
T;709;,3;5850;13000
F;695;,02;450;1000
T;794;,1;1800;4000
F;661;,23;15300;34000
T;756;,19;2250;5000
F;486;,25;2700;6000
T;729;,01;4050;9000
T;717;,28;3150;7000
T;808;,04;3600;8000
T;687;,01;3600;8000
T;679;,09;900;2000
T;736;,15;8100;18000
F;642;,02;1350;3000
F;551;,07;4950;11000
F;665;,14;1800;4000
T;682;,18;2700;6000
F;578;,03;2700;6000
T;673;,14;4950;11000
F;581;,24;3150;7000
F;445;,26;1800;4000
F;551;,31;3600;8000
T;734;,18;7200;16000
T;689;,19;8100;18000
F;579;,11;2250;5000
F;612;,26;2250;5000
F;519;,01;1800;4000
F;684;,37;9000;20000
F;727;,02;1350;3000
F;691;,41;15750;35000
T;778;,03;2700;6000
T;713;,15;6750;15000
F;598;,01;3150;7000
F;690;,34;9450;21000
T;722;,12;5400;12000
T;688;,02;1800;4000
F;595;,09;450;1000
F;697;,23;8100;18000
T;752;,17;7200;16000
T;719;,18;7200;16000
F;643;,48;3150;7000
T;682;,1;2700;6000
T;666;,22;1800;4000
T;691;,16;1800;4000
F;443;,05;450;1000
T;663;,26;900;2000
T;685;,13;5850;13000
F;588;,43;9900;22000
T;676;,1;5850;13000
F;797;,12;2700;6000
T;700;,16;450;1000
T;680;,15;1350;3000
F;739;,57;5850;13000
F;619;,27;10800;24000
T;709;,22;3600;8000
T;682;,25;1350;3000
F;672;,01;1800;4000
T;694;,03;900;2000
T;767;,15;10350;23000
T;706;,23;9000;20000
F;692;,06;6300;14000
T;681;,31;5850;13000
F;614;,45;1350;3000
F;703;0;2250;5000
F;542;,13;1800;4000
F;584;,36;8550;19000
F;688;,23;16200;36000
F;607;,23;3150;7000
F;642;,04;16200;36000
F;739;,35;5850;13000
F;651;,24;4050;9000
T;744;,08;12150;27000
F;621;,1;4500;10000
F;705;,29;14850;33000
T;709;,18;3600;8000
T;691;,22;3600;8000
F;527;,05;17100;38000
T;735;,24;4500;10000
F;622;,01;6300;14000
T;668;,02;450;1000
F;646;,29;4050;9000
T;810;0;450;1000
F;732;,03;1350;3000
F;753;,12;4050;9000
F;539;,1;4950;11000
T;712;,18;4500;10000
F;709;,03;225;500
T;781;0;900;2000
T;759;,14;4050;9000
T;704;,12;6750;15000
F;485;,16;900;2000
F;683;,26;9000;20000
F;670;,06;1350;3000
T;692;,3;2700;6000
T;674;,12;4050;9000
F;503;,25;1800;4000
F;552;,21;5850;13000
F;616;0;11250;25000
F;724;,35;17100;38000
T;746;,22;3600;8000
T;765;,07;16650;37000
T;719;,05;3150;7000
F;647;,07;900;2000
F;618;,11;16200;36000
T;669;,2;3150;7000
T;708;,31;12600;28000
F;622;,39;2700;6000
F;721;,02;900;2000
F;618;,06;900;2000
F;545;,1;13050;29000
F;617;0;4500;10000
T;688;,2;9000;20000
T;727;,13;9900;22000
T;726;,15;900;2000
T;723;,23;450;1000
F;643;,12;7200;16000
T;722;,08;7650;17000
T;720;,14;3600;8000
T;761;,15;5400;12000
F;780;0;225;500
T;688;,27;16200;36000
T;669;,15;5850;13000
T;796;,01;6300;14000
T;719;,18;3600;8000
T;742;,05;14850;33000
T;690;,06;4050;9000
F;586;,65;1350;3000
F;624;,24;7200;16000
T;689;,08;1800;4000
T;677;,09;4950;11000
T;716;,08;9900;22000
F;548;,22;4950;11000
F;601;,06;5850;13000
F;661;,11;2700;6000
F;673;,14;2700;6000
F;566;,17;3600;8000
T;747;,07;10350;23000
F;590;,14;2700;6000
T;704;,08;5850;13000
T;685;,23;5400;12000
F;564;,18;1800;4000
T;673;,23;7650;17000
T;789;,1;11250;25000
T;717;,01;2250;5000
T;743;,13;4950;11000
T;692;,07;4950;11000
F;574;,41;9000;20000
F;733;,44;15300;34000
F;505;,03;4050;9000
T;666;,07;2700;6000
F;681;,11;2250;5000
T;777;,09;2250;5000
T;725;,01;3600;8000
T;684;,26;3600;8000
F;608;,38;6300;14000
T;693;,2;450;1000
F;571;,29;2250;5000
F;652;,14;2250;5000
T;780;,14;5850;13000
T;717;,11;6750;15000
T;674;,28;6300;14000
T;666;,33;2700;6000
T;696;,05;6300;14000
F;588;,3;900;2000
F;643;,01;1350;3000
F;688;,23;16200;36000
T;676;,22;9900;22000
T;698;,11;6300;14000
T;744;,16;2700;6000
T;772;,14;6300;14000
T;681;,2;4950;11000
F;641;,22;900;2000
F;591;,37;10350;23000
T;686;,15;9000;20000
T;689;,28;6750;15000
F;503;,01;1350;3000
T;712;,21;4050;9000
T;674;,15;3600;8000
F;686;,02;14400;32000
T;732;,21;4050;9000
F;553;,12;1350;3000
F;626;,2;5850;13000
T;718;,26;9000;20000
T;686;,15;1350;3000
T;712;,19;6300;14000
F;672;,02;16650;37000
F;656;,25;2700;6000
T;681;,16;900;2000
T;679;,13;5400;12000
T;751;,22;12150;27000
F;677;,37;13950;31000
T;701;,23;11700;26000
T;678;,23;6750;15000
F;716;,41;15300;34000
T;676;,25;8100;18000
T;756;,17;6300;14000
T;736;,32;7650;17000
T;696;,18;10350;23000
T;686;,15;2700;6000
F;745;,02;9900;22000
F;518;,08;7200;16000
F;663;,26;4050;9000
T;695;,02;450;1000
T;730;,21;16650;37000
T;731;,13;3600;8000
T;730;,24;7200;16000
F;636;,24;5400;12000
F;729;,04;3150;7000
F;692;,35;7200;16000
F;701;,24;450;1000
F;678;,55;2250;5000
T;662;,17;4050;9000
T;709;,09;4050;9000
T;708;,08;2700;6000
F;682;,43;9450;21000
T;681;,21;6300;14000
F;455;,15;15300;34000
F;676;,07;3150;7000
F;681;,12;4050;9000
F;570;,06;450;1000
F;605;,07;2700;6000
T;685;,18;900;2000
F;663;,28;7650;17000
F;671;,18;14850;33000
T;672;,21;11250;25000
T;704;,31;11700;26000
F;790;,09;12150;27000
F;690;,17;12600;28000
F;508;,29;2250;5000
T;731;,09;10800;24000
F;559;,06;1800;4000
F;674;,2;4500;10000
F;595;,06;450;1000
F;603;,1;900;2000
F;585;,01;15300;34000
F;609;,14;4950;11000
T;728;,1;6300;14000
T;750;,08;6750;15000
T;687;0;5400;12000
F;670;,26;8100;18000
T;720;,13;8550;19000
F;660;,31;4050;9000
F;710;,32;13500;30000
T;771;,04;14850;33000
F;492;,08;11700;26000
F;602;,4;10800;24000
T;726;,18;8550;19000
T;690;,08;4050;9000
T;685;,15;4500;10000
F;691;,39;12150;27000
T;720;,19;6750;15000
F;608;,06;3600;8000
T;734;,17;3600;8000
F;701;,59;9450;21000
T;715;,24;7650;17000
T;708;,16;9900;22000
F;690;,3;6300;14000
T;691;,17;1800;4000
F;736;,06;10800;24000
T;736;,18;8100;18000
F;752;,19;12150;27000
T;723;,2;5400;12000
F;585;0;900;2000
T;706;,23;3600;8000
T;728;,24;4950;11000
T;691;,13;3600;8000
F;556;,13;900;2000
F;640;,29;900;2000
T;665;,18;3150;7000
T;682;,2;5850;13000
F;626;,09;5400;12000
T;777;,09;4500;10000
F;573;,26;1800;4000
F;720;0;450;1000
F;687;,41;5400;12000
F;436;,02;1800;4000
T;815;0;4050;9000
T;702;,23;7650;17000
T;735;,06;4050;9000
F;714;,16;5400;12000
F;474;,23;9000;20000
F;648;,68;2250;5000
F;637;,16;4950;11000
T;800;,08;10350;23000
F;509;,26;2700;6000
T;777;,18;4950;11000
T;702;,2;5400;12000
F;655;,02;3600;8000
T;666;,08;4500;10000
F;655;,01;15750;35000
T;683;,29;15750;35000
F;634;,2;2250;5000
T;720;,19;6750;15000
T;688;,01;2250;5000
T;709;,26;17100;38000
F;661;,03;7200;16000
T;665;,05;3150;7000
T;757;,1;6300;14000
T;687;,18;6750;15000
T;680;,03;3150;7000
F;775;,14;10350;23000
F;664;,02;11700;26000
F;651;,25;900;2000
F;658;,33;13500;30000
T;678;,18;5850;13000
T;767;,11;6750;15000
F;643;,18;9900;22000
T;713;,14;3150;7000
F;656;0;4050;9000
F;699;,4;8100;18000
F;628;,33;1350;3000
T;742;,12;2700;6000
F;644;,53;16200;36000
F;653;,54;2700;6000
T;755;,08;1350;3000
T;692;,31;11250;25000
F;676;,3;4500;10000
T;684;,1;15300;34000
T;670;,07;7200;16000
F;555;,22;13950;31000
T;767;,09;4950;11000
F;637;,02;13500;30000
T;691;,17;6750;15000
F;620;,07;1800;4000
T;714;,17;5850;13000
F;677;,01;6750;15000
T;731;,08;2700;6000
F;707;,38;11250;25000
T;665;,15;17100;38000
F;625;,06;12150;27000
F;551;,26;3600;8000
T;667;,04;2700;6000
T;779;,07;7650;17000
F;497;,27;1350;3000
T;702;,1;8100;18000
F;707;,09;9000;20000
F;663;,05;5400;12000
T;686;,1;15300;34000
T;682;,2;10800;24000
T;741;,12;10800;24000
T;831;,13;8550;19000
F;721;,11;6300;14000
T;704;,24;15300;34000
F;574;,66;900;2000
T;744;,09;3600;8000
T;746;,17;8100;18000
F;592;,01;3600;8000
F;657;,33;2700;6000
T;734;,09;13500;30000
T;732;,3;4500;10000
F;647;,19;450;1000
T;827;,1;5850;13000
F;683;,13;8550;19000
F;693;,03;2700;6000
T;695;,07;900;2000
T;700;,23;6300;14000
T;680;,12;4500;10000
T;674;,18;9900;22000
F;651;,26;12150;27000
T;789;,15;8100;18000
T;712;,24;1350;3000
T;696;,2;1800;4000
F;662;,04;1350;3000
T;686;,22;5850;13000
T;739;,14;3600;8000
F;557;,11;2700;6000
T;692;,22;6750;15000
T;678;,15;3600;8000
T;696;,19;7200;16000
T;730;,13;2250;5000
T;663;,24;6750;15000
F;499;,15;4950;11000
F;492;,13;4500;10000
F;598;,14;9000;20000
F;685;,13;11250;25000
T;706;,15;11250;25000
F;635;,09;3150;7000
T;703;,14;7650;17000
T;755;0;1800;4000
F;629;,11;1800;4000
F;598;,31;7200;16000
T;667;,13;450;1000
T;663;,31;8100;18000
F;530;,16;1800;4000
T;699;,2;4950;11000
F;654;,02;1350;3000
F;599;,1;14850;33000
F;729;,07;11250;25000
F;642;,06;7650;17000
T;694;,24;9000;20000
T;681;,26;5400;12000
T;763;,16;1800;4000
F;686;,01;8550;19000
F;642;,02;3600;8000
F;456;,17;450;1000
F;668;,11;8550;19000
F;528;,45;13050;29000
T;733;,15;7200;16000
T;675;,2;16200;36000
T;706;,25;5850;13000
T;699;,14;5400;12000
T;668;,21;4950;11000
F;637;,13;9000;20000
F;671;,45;8550;19000
F;769;,26;12150;27000
F;677;,27;14400;32000
T;749;,24;4950;11000
F;558;,41;1800;4000
F;545;,23;1800;4000
F;727;,12;3600;8000
F;699;,3;15750;35000
T;692;,08;6750;15000
F;649;,12;3600;8000
T;760;,09;2700;6000
F;604;,09;9450;21000
F;545;,06;1800;4000
T;751;,23;2250;5000
T;705;,29;10800;24000
F;504;,01;3600;8000
F;711;,07;4500;10000
F;659;,12;4500;10000
T;715;,07;9450;21000
F;621;,07;4950;11000
F;579;,02;4500;10000
F;661;,41;7650;17000
F;481;,37;4500;10000
T;716;,22;4500;10000
F;640;,15;4050;9000
F;653;,11;2700;6000
T;682;,15;4500;10000
T;674;,17;5400;12000
F;635;,3;4500;10000
T;675;,21;13950;31000
T;674;,15;10800;24000
F;718;,04;2700;6000
F;638;,04;3600;8000
F;668;,54;3150;7000
F;629;,17;13500;30000
T;688;,13;7650;17000
T;698;,21;11700;26000
T;760;,09;2700;6000
F;659;,28;10800;24000
F;720;,31;12600;28000
F;700;,38;6750;15000
F;578;,01;1350;3000
T;689;,09;1800;4000
T;677;,2;8550;19000
F;681;,36;6300;14000
T;672;,32;2700;6000
T;719;,24;8100;18000
F;720;,18;7200;16000
F;703;,59;2250;5000
T;717;,04;13050;29000
T;661;,09;8100;18000
T;687;,08;5850;13000
F;763;,09;12600;28000
F;513;,06;15750;35000
T;722;,12;2700;6000
T;683;,05;1350;3000
T;753;,02;8100;18000
F;758;,05;3600;8000
T;729;,24;6750;15000
T;770;,08;11250;25000
T;735;,05;6300;14000
T;676;,12;2250;5000
F;733;,2;5400;12000
F;772;,24;6750;15000
T;674;,21;10350;23000
F;637;,63;6300;14000
F;604;,24;1350;3000
F;557;,21;1350;3000
F;660;,36;6750;15000
T;729;,05;5400;12000
T;710;,21;12600;28000
F;590;,18;14850;33000
F;780;,06;1350;3000
F;632;,27;5400;12000
F;646;,02;2250;5000
F;586;,17;15750;35000
T;756;,09;5850;13000
T;761;,2;4950;11000
F;606;,44;5850;13000
T;723;,02;3600;8000
F;647;0;3600;8000
F;693;,47;10800;24000
T;689;,15;1350;3000
T;664;,18;5400;12000
T;685;,18;5400;12000
T;691;,07;1350;3000
F;667;,13;3150;7000
F;610;,11;2700;6000
F;729;,26;6300;14000
T;698;,38;15750;35000
F;462;,08;6750;15000
F;751;,35;2250;5000
F;505;,13;2250;5000
F;672;,16;4950;11000
F;695;,31;2250;5000
F;529;,08;1800;4000
T;693;,18;9450;21000
F;750;,11;8100;18000
T;680;,02;225;500
T;708;,15;2700;6000
F;710;,07;9900;22000
T;747;,18;5400;12000
T;669;,12;4950;11000
T;662;,24;4500;10000
F;632;,18;2250;5000
T;669;,25;5850;13000
T;684;,22;225;500
T;734;,11;5400;12000
F;663;,16;5400;12000
T;695;,07;7200;16000
T;680;,2;3600;8000
F;608;,37;1350;3000
T;769;,13;4500;10000
T;699;,14;6300;14000
F;618;,63;9450;21000
F;594;,19;4950;11000
F;614;,25;12600;28000
F;685;,26;7200;16000
F;656;,25;900;2000
T;689;,38;7200;16000
T;733;,06;7650;17000
F;681;,15;4050;9000
F;588;,3;5400;12000
F;631;,47;6300;14000
F;659;,08;12150;27000
T;705;,04;5850;13000
T;726;,13;8100;18000
F;725;,46;3150;7000
F;578;,36;17100;38000
T;676;,1;5850;13000
F;648;,22;6750;15000
T;722;,18;13500;30000
T;664;,24;2250;5000
F;710;,6;10350;23000
T;693;,24;3600;8000
F;701;,37;7650;17000
T;753;,18;4950;11000
T;717;,07;3600;8000
T;708;,22;9900;22000
F;657;,14;3600;8000
F;699;,2;3150;7000
T;685;,28;6750;15000
F;684;,12;8550;19000
T;750;,14;4950;11000
F;485;,05;1800;4000
T;678;,24;1800;4000
F;616;,09;15300;34000
F;732;,39;2250;5000
F;712;,15;2250;5000
F;747;,12;3600;8000
F;737;,08;3150;7000
T;675;,19;4500;10000
F;467;,03;900;2000
T;680;,1;7650;17000
T;689;,03;4050;9000
F;750;,42;6750;15000
F;655;,12;4500;10000
T;670;,07;2250;5000
T;756;,11;5400;12000
F;601;,04;450;1000
F;482;,49;225;500
T;787;,05;15300;34000
F;604;,12;1800;4000
F;706;,17;8100;18000
T;692;,08;1350;3000
F;611;,21;11250;25000
F;559;,06;450;1000
T;674;,05;9900;22000
F;527;,02;4500;10000
T;720;,2;3150;7000
T;696;,17;900;2000
T;670;,18;13050;29000
T;696;,14;17100;38000
T;776;0;11700;26000
T;704;,18;4500;10000
T;761;,16;900;2000
F;677;,3;450;1000
F;654;,06;3600;8000
F;655;,25;9450;21000
F;548;,29;450;1000
T;709;,23;9000;20000
T;682;,17;4050;9000
F;640;,21;10800;24000
T;716;,19;2250;5000
F;623;0;900;2000
T;668;,19;3600;8000
F;680;,39;4050;9000
T;707;,08;6300;14000
F;712;,36;10800;24000
T;699;,14;1350;3000
T;691;,21;7200;16000
T;687;,01;6300;14000
T;705;,31;15300;34000
T;707;,21;8550;19000
F;498;,04;1800;4000
F;753;,46;5400;12000
T;693;,31;8550;19000
F;667;,03;11250;25000
F;621;,11;1350;3000
F;712;,57;10350;23000
F;719;,3;13950;31000
T;763;,23;7650;17000
F;614;,3;1350;3000
F;597;,01;4500;10000
T;649;,3;3600;8000
T;673;,13;3600;8000
F;626;,47;900;2000
F;622;,34;3150;7000
T;731;,14;7200;16000
T;793;,03;450;1000
T;701;,19;6750;15000
T;690;,3;2250;5000
F;632;,1;2700;6000
F;684;,01;7200;16000
F;666;,08;1350;3000
T;794;,05;3150;7000
T;733;,18;5400;12000
F;652;,1;450;1000
F;666;,33;10800;24000
F;446;,02;2250;5000
T;714;,17;5850;13000
T;716;,23;9900;22000
F;555;0;900;2000
T;738;,13;14400;32000
F;710;,4;1800;4000
T;694;,2;4500;10000
T;677;,19;16200;36000
F;711;,04;12600;28000
